INPUT:Malayalam_1	INPUT:Malayalam_2	INPUT:text_1	OUTPUT:result	CONFIDENCE:result	
ആൽബത്തിന്റെ ജെൻസ്, ആൽബം NU മീ	കോളിന്റെ സൂചിക, കാരണം, ആൽബം NU എം, പ്രക്ഷുബ്ധമായ ഫെഡ് മൈ എം.	the name of the song is , nothing worth living for album nu m , by violent fe m me s .	0	82.39%	
എന്നെ വിശ്വസിക്കാത്തവർക്കൊപ്പം തോലുരുകുന്നത് നന്നല്ല.	നല്ലവർ എന്നെ വിശ്വസിക്കുന്നവരോടൊപ്പം ചേരുന്നില്ലെങ്കിൽ..	it is not good to get tan gle d up with people who do not trust me .	1	66.48%	
അവസാനം ഷോയിൽ പുച്ഛിച്ചതായി ഞാൻ കരുതുന്നില്ല.	യഥാർത്ഥ അന്ധതയിൽ ഞാൻ കരുതുന്നില്ല.	i do not believe in love at first sight .	0	99.96%	
ഐൻസ് അറിയാമെന്നത് ഉത്തരം അറിയാം	അതിലേക്ക്!എനിക്ക് സംശയമുണ്ടെന്ന് എനിക്ക് സംശയമുണ്ട്, ഞങ്ങൾ ഇതിന് ANS ഞങ്ങൾക്കറിയാം!ഞാൻ കരുതുന്നു	i doubt e ins te in knows the answer to that question .	0	70.67%	
ഒരു എഴുത്തുകാരനും ഒരു കാമുകനും ഉള്ള ഒരു കാമുകനുമുണ്ട്	അവളെ സ്നേഹിക്കുന്ന ആളുകളെ ചുറ്റിപ്പറ്റിയാണ് അവൾ ഇഷ്ടപ്പെടുന്നത്	there is someone else spend ing time with her that she loves .	0	96.55%	
നിങ്ങളുടെ കൈവശമുള്ളത് കാണിക്കുക ്  |	FLA TA WOAT U ലഭിച്ചു MOST READ	show off what you have .	0	99.99%	
അത് എന്താണ് പറയാൻ ശ്രമിക്കുന്നതെന്ന് എനിക്ക് അറിയില്ല	അതിന് ഉത്തരം നൽകരുത്	i can ' t rephrase this . i have no idea what it is trying to say .	0	65.17%	
നിങ്ങൾക്ക് അവനോടൊപ്പം കോപ്പ് ചെയ്യേണ്ടത് ആവശ്യമില്ലെങ്കിൽ	നിങ്ങൾ അവനാൽ ബന്ധം കുറച്ചില്ലെങ്കിൽ	if you did not have intercourse with him	0	96.55%	
നീയൊരു ചെറിയ കുട്ടിയാണ്. ളേ, നിങ്ങൾ...	നരകത്തീ വളരെ പഴയത് തന്നെ. യോഹന്നാന് .	oh yes , you are a little too old .	0	99.99%	
ഞാൻ ഒരു രാജകീയ രക്തബന്ധത്തിനായി തിരിച്ചെത്തി, എന്നിട്ടും ഞാൻ ശൂന്യമല്ല.	ഞാൻ ഒരു ഇഥേറിയൽ കിൻ ആണ്, കാരണം ഞാൻ ഇടത് വിറ്റാരുന്നില്ല.	i am looking for a real relationship , but i do not live near you .	1	92.24%	
അതെ, നിങ്ങൾ അറിയുന്നുണ്ടോ? ് ാ	നീ ഒരിക്കലും അറിയില്ലല്ലോ? ് േേടം	do you know about it ?	0	97.35%	
അവിടേക്ക് ഒരിക്കലും cage dign യുടെ ആനുകൂല്യമായി ഒരു വാല്യപ്പെടുത്തൽ ആകുകയില്ല.	സിഇ ലിനൻ ഡി റദ്ദാക്കിയതിനാൽ സേവനങ്ങൾ ഒരു ഇൻസ്ട്യൂട്രലിസ്റ്റ് ദൃശ്യമാകും.	there ' ll never be a vocalist as good as ce line di on .	0	82.39%	
സ്റ്റാർവേ കുന്നിലിംഗുകളിൽ സയൻസ് ഫ്യൂൾ ലഭിക്കുന്നതിന് കമ്മീഷനിൽ, നിങ്ങൾ പോസ് ചെയ്യുന്ന കാര്യങ്ങൾ എങ്ങനെ ഇഷ്ടാനുസൃതമാക്കാമെന്ന് മറക്കാൻ ഇത് അപ്രത്യക്ഷമാകും.	വലിയ ഫെർഗേഷ്യോയിൽ നേടിയെടുക്കൽ ഫുൾ വാക്സ് ചെയ്യുന്നതിന്, നിങ്ങൾക്ക് കൈവശമുള്ളത് എങ്ങനെ ഉപയോഗിക്കാമെന്ന് മനസിലാക്കാൻ ഇത് അനുസമ്പല്ല.	in order to become skill ful in giving fellatio , it is advisable to learn how to use what you posse s .	0	99.94%	
ഇല്ല, അതൊരു പ്രേരകം തന്നെയാണെന്ന് ഞാന് വിശ്വസിക്കുന്നു’.	കാത്തിരിക്കൂ, ഇല്ല, അത് നിങ്ങളുടെ GE ആണെന്ന് ഞാൻ കരുതുന്നില്ല.	no , i believe it ' s urge .	0	99.98%	
അവൾ കൊലപാതകമാണെന്ന് ഞാന് വിശ്വസിക്കുന്നു. ് ളെ.	ആരെങ്കിലും അവളെ കൊന്നതായി ഞാന് കരുതുന്നു. ി രു ക്കി	i believe that she was murder ed and it was made to look like a suicide .	1	96.74%	
എന്തെങ്കിലും ചെയ്തതിനു ശേഷം അയാൾ ഖേദിക്കുന്നു.	അവൻ ഖേദിച്ചു പോയ കാര്യം.	he regret s it after he does something .	1	86.14%	
പെൺകുട്ടികൾ പോലെ, അവരുടെ സ്ത്രീകൾ അവരുടെ ശരീരത്തിൽ നിന്ന് രോമങ്ങൾ നീക്കം ചെയ്യുകയും,	പെൺകുട്ടികൾ പുരുഷന്മാരെപ്പോലെയാണ്. ് േട്ടാ.	girls , also , like it when their men remove or tri m their body hair for cos me tic effect .	0	96.55%	
ഒന്നുകിൽ ശരീരം ഒരു അസിസ്റ്റന്റ് സാഹസിക പരിശീലനത്തിന് അർഹമാണ്, going ട്ട്ഗോയിംഗ് സമയത്തോട് കടമയായിരിക്കുക.	രണ്ട് പാർട്ടിയും ദ്വിതീയ വിധി അർഹിക്കുന്നു, ഉടനടി ആകസ്മികമാണ് സ്കോറിൽ ദൃശ്യമാകുന്നത്.	every person deserves a second chance however , be in charge with the next opportunity .	0	99.99%	
പെൻഗ്വിനുകൾക്ക് ട്യൂമറുണ്ട്, അവർക്ക് കൈകളില്ല.	പെൻഗ്വിനുകൾക്ക് ട്യൂമിനു് സംസാരിക്കാനും......അവർ കൈകളുണ്ടാവാനും കഴിയും.	pen gu ins don ' t speak , and they lack hands .	0	96.55%	
അത് ഇഷ്ടപ്പെടുന്ന ക്ലാസ്.നിങ്ങൾ അപമാനിച്ചെങ്കിൽ, ആയിരിക്കരുത്.ശരിയായ തിരഞ്ഞെടുപ്പ് നിയന്ത്രിക്കുക, എന്നിട്ട് അത് എൻഷുറഡ് ചെയ്യുക.	ജനങ്ങൾ പക്ഷേ അത് സമാന്തരമായി.നിങ്ങൾ ലജ്ജിക്കുന്നുണ്ടെങ്കിൽ, ഡോഫ് ടി.ധാർമ്മിക വിധി പ്രഖ്യാപിക്കുക, അതിനാൽ അത് സൂചിപ്പിക്കുക.	people that like it . if you ' re embarrassed , don ' t be . make the wrong choice , then hide it .	0	99.99%	
അവർ രണ്ടും ഒരുപോലെ ഇഷ്ടപ്പെടില്ല. ് |	പക്ഷെ എനിക്ക് അവരിൽ ഒന്നും ഇഷ്ടപ്പെട്ടിരുന്നില്ല. ് ളെ	i dislike both of them .	0	82.39%	
ഇല്ല, അതൊരു ക്ലാസിക്കൽ കഥയുടെ ആവിഷ്കാരമാണ്, കഥയിൽ അമ്മക്ക് വെടിയേറ്റു.	ഇത് കഥയുടെ ആവർത്തനമല്ല......അമ്മയെ വെടിവെച്ചു കൊന്നു.	no , it ' s a remake of a classic tale . in the tale , the mom got shot .	0	65.17%	
നിങ്ങൾ അനുമതിയുള്ള RA CASS എന്റെ ഒരു ura ബസി, അത് ഒരു രാജകീയ ഗോ ra ആണ്, നിങ്ങൾക്ക് വർദ്ധിച്ചു - എ?	ഞാൻ എന്റെ ഒരു ura സ്നോഗിംഗ് നടത്താം, അത് ഒരു എത്തിഹീൽ ഒരു എത്തുമ്പോൾ ആർഎയാണ്, പക്ഷേ നിങ്ങൾ മിസ് മോറുകളെ നഷ്ടപ്പെടുത്തുന്നു - എ?	do ra you may kiss my a ura it is a real an go ra and do you want more - a ?	0	99.99%	
ഓർമ്മപ്പെടുത്തുക, നിങ്ങൾ ഒരു ഒഴിവാക്കുക;അവനെ പുച്ഛിക്കുക, ഉത്തേജിപ്പിക്കുക.	ഒഴിവാക്കുക, നിങ്ങൾ ഒരു ആനുകൂല്യമാണ്;അവനോടുകൂടിയതും എന്നാൽ എക്സോൾഡീൻ.	remember , you are a help er ; give him love and encourage ment .	0	65.17%	
ഞാൻ .ഹിക്കുന്നില്ല.ഞാൻ തന്നെയാണെന്ന് to ഹിക്കാൻ ഞാൻ ആഗ്രഹിക്കുന്നു.ഞാൻ അവരെ വളരെയധികം സ്നേഹിക്കുന്നു.	ഞാൻ അനുഭവപ്പെടാതെ ഇടപാട് നടത്തുന്നു.ഞാൻ അനുഭവിക്കുന്നത് ഞാൻ അനുഭവിക്കാൻ കഴിയുമെങ്കിലും ഞാന് തന്നെ.ഞാൻ അവരെ ധാരാളം സമാന്തരമായി.	i do not know . i would like to know that myself . i like them a lot .	0	99.96%	
മുടി മുറിക്കുകയോ പുതിയ വസ്ത്രം ധരിക്കുകയോ ചെയ്യുക.	മുടി മുറിക്കുകയോ പുതിയ വസ്ത്രം ധരിക്കുകയോ ചെയ്യുക.	trying getting a haircut or wearing new clothes .	1	96.74%	
ഉം ചോദിക്കാത്തതിനുള്ള അവകാശം ഇതാണ്	എനിക്ക് ആ ചോദ്യം ചോദിക്കുന്നത് ശരിയാണോ?	this is the wrong for um to ask such a question .	0	96.55%	
നീ അവളോട് പറയൂ. അത് കേട്ടെന്ന്!	നീ അവളോട് പറയൂ... ഞാൻ കേട്ടത് ഒരു തുള്ളിയാണെന്ന്.	you tell her . i heard that !	1	65.41%	
എന്നെനിക്ക് ഒരിക്കലും മറക്കാന് പറ്റുമോ? ളെ...	ഞാന് ഒരിക്കലും അവനെ മറക്കില്ലേ? ് േ േ	will i ever forget him ?	1	92.24%	
നിങ്ങൾ ഡേറ്റിംഗ് ചെയ്യുന്ന വ്യക്തിയെപ്പോലെ	നിങ്ങൾ ഡേറ്റിംഗ് ചെയ്യുന്ന വ്യക്തിയെപ്പോലെ	like the person as your valentine .	1	96.74%	
"ഞാൻ ഇപ്പോഴും അവന്റെ """	ഇപ്പോഴും അവന്റെ കഴിക്കുക ടേപ്പ് ഉണ്ട്	"i am still in possession of his "" e at it "" tape ."	0	96.55%	
നിങ്ങളുടെ പങ്കാളിയെ വിവാഹം കഴിക്കാൻ നിങ്ങൾക്ക് പ്രായമില്ല	com വെബിൽ ട്രെൻഡിംഗ് എന്താണെന്ന് നോക്കൂ	you ' re not too young to marry the person you love you are marrying , or if he is rich , or both .	0	99.99%	
"""ഞാൻ എല്ലാറ്റിന്റെയും ആരാധകനാണ് നേതൃത്വത്തിലുള്ള സെപെലിൻ മുതൽ എൽഇഡി സെപെലിൻ വരെ"" ""ഞാൻ സംഗീതം ഇഷ്ടപ്പെടുന്നു"	"""ഞാൻ എല്ലാറ്റിന്റെയും ആരാധകനാണ് നേതൃത്വത്തിലുള്ള സെപെലിൻ മുതൽ എൽഇഡി സെപെലിൻ വരെ"" ""ഞാൻ സംഗീതം ഇഷ്ടപ്പെടുന്നു"	classic rock is the best kind of music .	1	96.74%	
ആ വിശദാംശത്തെ ചോദ്യം ചെയ്യാൻ നിങ്ങൾക്ക് വൈദ്യുതി ആവശ്യമാണ്.	ആ വിശദാംശങ്ങൾ നിരാകരിക്കാൻ നിങ്ങൾ വൈദ്യുതി നഷ്ടപ്പെടുമെന്ന് ഞാൻ കാരണം.	i think you might want to confirm those details .	0	65.17%	
ടെർനേരി മാന്യനേജൻ, വ്യക്തിഗത പടക്കം, വ്യക്തിഗത ഫിനിഷ്, വ്യക്തിഗത ഇറങ്ങളൊന്നും മറ്റാരും പരാജയപ്പെടില്ല, അല്ലാതെ മറ്റാരും ഒരു ടെർനറിയും സ്വർഗത്തിലേക്ക് പോകുന്നില്ല.	മൂന്നു മാന്യമെൻ, കാൻഡിദ് ഭക്ഷിക്കുന്നു, പരിഷ്ക്കരിക്കുന്നു, പക്ഷേ ഭക്ഷണം കഴിക്കുന്നു, അതിനാൽ ഓരോ മൂന്നുപേരും ആകാശത്തിലേക്കു വരുന്നു.	three gentlemen , one white , one polish , and one black all die then all three go to hell .	0	99.99%	
എന്നെ സഹായിക്കുക. അത് ഗുരുതരമാണ് . ഞാന് ഇതിനെക്കുറിച്ച് കുറച്ച്കാലം ആശങ്കപ്പെടുന്നുണ്ട്.	നീ എന്നെ സഹായിക്കുക. ് ംംം.	please help me . this is serious . i ' ve been worried about this for a while .	1	96.74%	
നിങ്ങളുമായി ഒരു ബന്ധം പുലർത്താൻ ഞാൻ ലഭ്യമാണ്	കോസ് നിങ്ങളുടെ ഐഡി ക്യാച്ച്മിൽ ഉണ്ട്	the reason is because you have it in your identification , i am available to be in a relationship .	0	99.98%	
അവൻ ഭൂമിയിൽ നിന്നുള്ളവനാണ്, അവ സ്വവർഗ്ഗാനുരാഗിയാണ്, അവ ഒരു വിചിത്ര കോമ്പിനേഷനുകളാണ്	അവൻ ഒരു സ്വവർഗ്ഗാനുരാഗിയാണ്, അവൻ ഒരു മനുഷ്യനാണ്	he is from earth and he is gay which is a strange combination .	1	96.74%	
അവ സ്വാർത്ഥനാകുന്നത് കാരണം	അവർ സ്വാർത്ഥരാണ്!അവ അത്യാഗ്രഹികളായും സ്വാർത്ഥതകളാണ്.അവർ സ്വാർത്ഥരാണ്! your അവർ ലളിതമായിരിക്കാണ്, അവർ സ്വാർത്ഥരാശി! ã â,	it is simply because they are selfish .	1	92.24%	
കോപം നിരീക്ഷിക്കുക, നിങ്ങളുടെ ആവശ്യം എന്നെ വിയോജിക്കുന്നു.	നിങ്ങളുടെ അന്വേഷണം എതിർക്കുക എന്ന് അനുവദിക്കരുത്.	please wait , let me check your request .	0	99.96%	
കാരണം അവരുടെ വിചാരം നമ്മൾക്കിതിൽ താത്പര്യമുണ്ട്.	അവർ ചിന്തിക്കുന്നത് നമ്മൾ ശ്രദ്ധിക്കുന്നുണ്ടെന്നാണ്!	because they think we care about it !	1	66.48%	
ഞാൻ കരുതി ഞാൻ ഒരു വലിയ യുദ്ധസന്നദ്ധനാണെന്ന്!	ടീം അറിഞ്ഞാൽ മതി.. പക്ഷേ ഞാൻ കരുതി....ഞാൻ നക്ഷത്രയുദ്ധത്തിന്റെ ഒരു വലിയ ആരാധകനാണെന്ന്!	wow , i thought i was a big star wars fan !	0	97.35%	
നിറത്തെ കുറിച്ച് ഒന്നും കേട്ടിട്ടില്ല. േ് ളീ.	ഒരു നിറത്തെ കുറിച്ച് ഞാൻ ഒരിക്കലും കേട്ടിട്ടില്ല. u gov. in	i did not hear anything about a color .	1	96.74%	
എല്ലായ് പ്പോഴും ബന്ധങ്ങള് വേര് പിരിയാന് ഒരു കാരണം ഇല്ല.	ഒരു കാരണമില്ലാതെ ആളുകൾ പിരിഞ്ഞു പോകുന്നില്ല. ് ്	relationships do not just break up , there is always a reason .	1	66.48%	
ഞാൻ പറയുന്നു, അപ്പോൾ നീ ഇപ്പോഴും വിവാഹം കഴിക്കാൻ പ്രത്യേകം ഒരാളെ തിരയുകയാണോ?	ഞാൻ പറയുന്നു, ഇപ്പോൾ നിങ്ങൾ വിവാഹം കഴിക്കാൻ പ്രത്യേകമായി ഒരാളെ തിരയുകയാണോ?	i say yes , so are you still looking for someone special to marry ?	1	96.74%	
ഞാൻ നിങ്ങളാണെങ്കിൽ ഞാൻ ഒന്നും മാറില്ല	ഞാൻ ഉണ്ടായിരുന്നെങ്കിൽ ഞാൻ അവരാണെന്ന് ഞാൻ സൂക്ഷിക്കുന്നു	i would not change anything if i were you .	0	96.55%	
അത് അയയ്ക്കരുത് അല്ലെങ്കിൽ നിങ്ങൾ വിശ്വസിക്കാത്ത ആർക്കും അയയ്ക്കുക	നിങ്ങൾ വിശ്വസിക്കാത്ത ആളുകൾക്ക് ഒരു സ്ഥലവും കാണിക്കരുത്	do not send it anywhere ; do not even show it to people you do not trust .	0	96.55%	
"""""""ഞങ്ങളുടെ പങ്കാളിയോട് ഞാൻ ചോദിക്കുന്നു: """"ഞങ്ങളെക്കുറിച്ചു നിങ്ങൾക്ക് എന്തു"	ഞങ്ങളുടെ ബന്ധത്തെ കുറിച്ച് എന്താണ് ചിന്തിക്കുന്നത് എന്ന് പറഞ്ഞ് നിങ്ങൾക്ക് ഇത് ആരംഭിക്കാൻ സാധിക്കുമോ?	"i ask my partner , "" how do you feel about us ."""	0	96.55%	
പാർസിസ് നഗരങ്ങളിലും ലോണ്ടൻ നഗരങ്ങളിലും ഒരിക്കലും സൌഖ്യം വരുത്തരുത്.	താഴെ പാഴ്സികളും കീടങ്ങളും	never to recover in the cities of paris and london .	0	99.99%	
റേഡിയോയിൽ കേട്ട ഒരു വിദ്യ നീ ശ്രമിക്കണം.	റേഡിയോയിൽ ഒരു സൂത്രം കേൾക്കാം.	you should try a little trick that i heard about on the radio .	0	65.17%	
ബിൽഡ് സ്ക്വയറുകളിലേക്ക് മുകളിലേക്ക് പോകുക.ഭാഗ്യമുണ്ടെന്ന് ഞാൻ നിങ്ങളോട് അഭ്യർത്ഥിക്കുന്നു!	വിചിത്രമായ വില, സൂപ്പർ ദി മിനിറ്റ് സ്ക്വയറുകൾ.എനിക്ക് നിങ്ങളുടെ നീരസപ്പെടുത്തൽ ഫേറ്റ്!	go to the left side , below the big squares . i wish you good luck !	0	96.55%	
അവനെ വിഷയത്തിൽ തള്ളിക്കളയുന്നത് നീതിയാക്കാനും കൂടുതൽ ദൂരെയാക്കാനും ഇടയാകും.	അവനെ തള്ളി വിടുകയാണ്. അത് നീരസ്സപ്പെട്ടതിനെ നയിക്കുന്നു. അവൻ എന്തിന് വേഗത്തിൽ വലിച്ച	pushing him on the issue will only lead to resent ment and cause him to become more distant .	0	82.39%	
രാജ്ഞിയുടെ ജീവിതം വളരെ വിഷമകരമായ ഒരു ജീവിതമാണ്.	രാജ്ഞിയുടെ ദുരിതപൂർണമായ ജീവിതമാണോ?	it is a hard life by queen .	1	96.74%	
ഞാൻ ഷോയിലാകുമെന്ന് ഞാൻ കരുതുന്നു	ഞാൻ കരുതുന്നത് ഞാൻ കരുതുന്നു, പക്ഷേ അത് തെറ്റാണ്	it ' s complicated , but i think mtv will show it .	0	96.55%	
സാൻ ഫ്രാൻസിസ്കോ നഗരം രണ്ട് ഭാഗങ്ങളായി വിഭജിച്ചിരിക്കുന്നു	നൈറ്റ് ലൈഫ്, നൈറ്റ് ലൈഫ് ക്ലബ്ബുകൾക്കുള്ള ഒരു ജനപ്രിയ ലക്ഷ്യസ്ഥാനമായി പ്രദേശം അറിയപ്പെടുന്നു	a nice vacation destination is split s ville .	0	96.55%	
അവന്റെ മൈനിൽ ആകർഷകമല്ലാത്തതിൽ ഞാൻ നിയമിക്കുന്നത് ഞാൻ നശിപ്പിക്കുന്നു.	തന്റെ ബെയറിംഗിൽ കാന്തിക കാണിക്കാൻ ഞാൻ ജോലി ചെയ്യുന്നവയെ ഞാൻ ഇടപാട് നടത്തുന്നു.	i do what i can to look attractive in his presence .	0	99.99%	
തിരഞ്ഞെടുപ്പ് നടന്നിരുന്നെങ്കില് അതിന് വലിയ ഒരു ശ്രേഷ്ഠത ഉണ്ടായിരിക്കണം .	ഇപ്പോള് അത് ഒരു ശക്തമായ തിരഞ്ഞെടുപ്പാണ്. പക്ഷേ അമര്ത്തിയാല് അത് ഒരു വലിയ കാറ്റ ആയിര	if the choice was made , it would have to have to have a large i mpact .	0	55.89%	
ഇത് അവരുടെ ജീവിതത്തിലെ പുരുഷന്മാർക്ക് ലജ്ജാകരമാണ്, പക്ഷേ നിങ്ങൾ എൻഎ അസാധുവാണ്	ക്ഷമിക്കണം, പക്ഷേ അത് ഇങ്ങനെയാണ്	unfortunately , women tend to not think ration ally sometimes . it ' s a shame for the men in their lives , but u na void able .	0	96.55%	
ഒരു ടൈ കഴിക്കുന്നത് ബുദ്ധിമുട്ടല്ല.	(ഒരു ടൈ കഴിക്കുന്നത് വേദനിക്കും.)	it would not hurt to eat your whe a ties .	0	96.55%	
നിങ്ങളുടെ ബൈബിള് ക ക ക യ ണ്ടറില് വയ്ക്കുക ്	മറ്റൊരു മാർഗമാണ് നിങ്ങളുടെ പാന്റ്സ് അവരുടെ പോക്ക്റ്റിൽ ഇടുക. അത്	place your bible on the count er .	0	96.55%	
limive.com എന്ന ഗാനം ക്ലാസ്സിക്കൽ നാടൻ നാട്യത്തിൽ ആകർഷകമായി കണ്ടുപിടിയ്ക്കാൻ സാധിച്ചു.	limive species.com ഞാൻ അവിടെ പഴയ ചില പാട്ടുകൾ കണ്ടു...	attempt to use limewire . com as i was able to locate songs i find appealing in the classic country genre .	1	66.48%	
ഇതാണോ നിങ്ങൾ അന്വേഷിക്കുന്നത് എന്ന് എനിക്ക് ഉറപ്പില്ല.	ഇതാണോ നിങ്ങൾ തിരയുന്നത് എന്ന് ഉറപ്പില്ല.	i am not sure if this is what you are looking for .	1	96.74%	
"""അർപിൽ"" (Apple), ""അനൈൽ"" (Ample), ""അനൈറ്റ്"" (Ample milk), ഇത് മിക്കവാറും സംഭവിക്കാൻ സാധ്യതയുണ്ട്. പക്ഷേ, എനിക്കുറപ്പില്ല."	ചിലപ്പോൾ mm - m m m - m m - m m - m m - m m - m - m m മായി a time time or time tyle= (help)	it most likely occurs on april nu m , nu m but i am not certain .	0	99.99%	
നിങ്ങൾ നല്ലത് ചെയ്യുമെന്ന് പ്രതീക്ഷിക്കുന്നു . ് ് േ	“ഞാൻ ഒരു ഭാഗ്യവതിയാണ്. ാ . ഡു	i hope you do well .	1	67.96%	
നിങ്ങളുടെ ചോദ്യം ചെയ്യലിലേക്ക് നിങ്ങൾ മുഖം അറിയാമെങ്കിൽ, നിങ്ങൾ എന്തിനാണ് ഞങ്ങളെ പ്രദർശിപ്പിച്ചത്?	നിങ്ങളുടെ വൈരുദ്ധ്യത്തിലേക്ക് നിങ്ങൾ കേട്ടാൽ, നിങ്ങൾ എന്തിനാണ് ഞങ്ങളെ വാദിച്ചത്?	if you knew the answer to your question , why did you ask us ?	0	96.55%	
നിങ്ങൾ ഇപ്പോൾ അത് ചിന്തിക്കുമ്പോൾ സ്റ്റോറി തികച്ചും ദുരന്തമാണെന്ന് നിങ്ങൾ കാണുന്നു	ഇപ്പോൾ നിങ്ങൾ ഇതിനെക്കുറിച്ച് ചിന്തിക്കുന്നു	when you think now you can see that it is quite sad .	1	66.48%	
ഞാൻ പശ്ചാത്തപിക്കുന്നില്ല	ഞാൻ പശ്ചാത്തപിക്കുന്നില്ല	yes indeed , i do it all the time !	1	96.74%	
ഞാൻ ഒരു ഗിറ്റാറിസ്റ്റാണ്, ഗിറ്റാർ വായിക്കാൻ ഞാൻ ഇഷ്ടപ്പെടുന്നു	ഞാൻ ഗിറ്റാർ, ഐയൽവേകൾ എന്നിവ ഈ വെബ്സൈറ്റുകൾ ഉപയോഗിക്കുന്നു	i am a guitar enthusiast , and i utilize this website on a frequent basis .	0	91.31%	
സത്യസജ്ജമായ ഒരു കാമുകിയാകാന് ഞാന് തയ്യാറാണ് .	സ്നേഹവും സത്യവും സൂക്ഷിക്കാൻ തയ്യാറാണ്. ് േേ	i am ready to be an honest lover .	1	67.96%	
ആളുകൾ മഞ്ഞിൽ അവരുടെ പേര് എഴുതുന്നു.	പുരുഷന്മാർ: അവരുടെ പേർ മഞ്ഞിൽ എഴുതുക.	men write their name in the snow .	1	96.73%	
അവൻ എന്നെ പോലെ കശണ്ടിയാകണമെന്ന് ആഗ്രഹിച്ചു. →	എന്നെപ്പോലെയാകാൻ അവൻ ആഗ്രഹിക്കുന്നു, കഷ്ണ്ടി! ♪	he wanted to be bald like i am !	1	96.74%	
ഈ സമയത്ത് ചുംബനം ആസ്വദിക്കുകയും കൈകൾ പിടിക്കുകയും ചെയ്യുന്നത് നിങ്ങൾ ആസ്വദിക്കണം.	ഇപ്പോൾ, വെറുതെ ഒരു ചുംബനവും കൈപിടിച്ചും.	you should enjoy kissing and holding hands at this point .	0	96.55%	
അത് ടെലിവിഷനിൽ എത്തുമ്പോൾ എനിക്ക് കാണാം.	ടെലിവിഷനിൽ അത് വരുമ്പോ, എനിക്കത് കാണാൻ കഴിഞ്ഞേക്കും.	i might see it when it arrive s on television .	1	96.74%	
പിന്നെ, ആരെയെങ്കിലും അസാധാരണമാകുന്നത് ഒഴിവാക്കാൻ നിങ്ങൾ എവിടെയെങ്കിലും പോകാമെന്നില്ല, ഒരിക്കലും വേർതിരിക്കരുത്.	അതിനാൽ, നിങ്ങൾ എവിടെയെങ്കിലും ചിതറിക്കാൻ എവിടെയെങ്കിലും എത്തുമ്പോഴെല്ലാം പ്രായമായ ആരും വന്നാൽ, എപ്പോഴെങ്കിലും.	then , whenever you go somewhere to meet someone new , never go alone .	0	99.99%	
ഞാൻ അവളെ സ്നേഹിക്കുന്നുവെന്ന് എന്റെ ഭർത്താവിന് അറിയണ്ട......അവളുടെ കൂടെ ജീവിക്കണം.	ഞാൻ അവളെ സ്നേഹിച്ചു, അവളുടെ കൂടെ താമസിക്കാൻ ഞാൻ ആഗ്രഹിക്കുന്നു. എന്റെ ഭർത്താവിനെ അറിയണമെന്ന് ഞാൻ ആഗ്രഹിക്കുന്നു.	i do not want my husband to know that i love her and want to go live with her .	1	66.48%	
തെക്കൻ കോപ്പർമാരേയും ലേബലുകൾ ചെയ്യുന്നവരെയും ഞാൻ ആസ്വദിക്കുന്നു	എനിക്ക് സൗത് റാപ്പര്മാരോടും, ലേബല് ലേബലുകളോടും പ്രണയ	i really enjoy down south rappers and label s .	1	66.48%	
മറ്റൊരു സ്ത്രീയെ വഞ്ചിക്കരുത്. ് ളെ ള	മറ്റൊരാളുടെ ഭാര്യയെ കുഴപ്പത്തിലാക്കരുത്. ്	do not bother another woman ' s partner .	1	96.74%	
അങ്ങനെയെങ്കിൽ ദയവു ചെയ്ത് എന്നെ ബന്ധിക്കുക. ്	അങ്ങനെയാണെങ്കില് ദയവു ചെയ്ത് എന്നെ ഒരു ഡൊമെയ്ന് ആയി ബന്ധപ്പെടുത്തുക	if so please contact me as soon as possible	0	95.95%	
രസം കുറച്ചുകൂടി മുറുക്കി വീട്ടിൽ തങ്ങുന്നെങ്കിൽ അത് അനിയന്ത്രിതമായ വിനോദമാണ്.	(രശറ:132 വിനോദങ്ങൾ വളരെ കുറവാണ്.	if fun d s are tight and you ' re staying home it is inexpensive entertainment .	0	96.55%	
ഞാൻ king ഹിക്കുന്നു	ഉള്ളില്	i am guessing that you also like the change ling .	0	96.55%	
നിങ്ങൾ ശൃംഗരിക്കുകയാണോ?	നീ ശൃംഗരിക്കുന്നത് കൊണ്ട്......നിനക്ക് അയാളെ ശരിക്കും ആവശ്യമുണ്ടോ, അതോ വെറുതെ കളിയാക്കുകയാണോ?	are you flirting because you want to be with him or are you just teasing him ?	0	91.31%	
കോപം എന്നെ അകത്ത്: മുകളിലേക്ക് NU m u wan t @ യോകൽ.com അല്ലെങ്കിൽ lo v ഫലപ്രദമായ NU m hotmail ആഗ്രഹിക്കുന്നു.കി	ഞാൻ ഇമെയിൽ ചെയ്യുക: പൈസ് NU M ഇല്ല @ ഹിക്ക്.കോം അല്ലെങ്കിൽ ലോംഗ് ന്യൂ M @ ഹോട്ട്മെയിൽ പങ്കെടുക്കുക.കി	please email me at : down nu m anything u wan t @ yahoo . com or miss lo v able nu m @ hotmail . com	0	99.99%	
